index,codec,type,preset,threads,ref_type,outfile_size_kbyte,outfile_bit_rate_kbs,outfile_options,enc_sec,comp_ratio_persent,enc_speed,ssim_min,ssim_mean,vmaf_min,vmaf_mean
15,hevc_qsv,CQP,veryslow,4,Nature,48518.962239583336,3234.9739583333335,-q:v 25,12.39317019780477,0.8067465402695575,9.681890659977485,0.9760053333333333,0.9926223333333333,72.31433700000001,87.79939733333333
16,hevc_qsv,CQP,veryslow,4,Anime,7096.088216145833,473.0735677083333,-q:v 34,12.427889426549276,0.9721045814920304,9.655643853258654,0.9291453333333334,0.9800800000000001,44.36499533333333,75.68833433333333
17,hevc_qsv,CQP,veryslow,4,Nature,9752.083333333334,650.2145182291666,-q:v 35,12.337490876515707,0.9606627591516531,9.725418581114475,0.8883813333333334,0.9678606666666667,33.21839500000001,63.19575866666667
18,hevc_qsv,CQP,veryslow,4,Anime,5446.006510416667,363.0690104166667,-q:v 36,12.39298963546753,0.9785666403611454,9.682833247601957,0.9052143333333333,0.9730156666666666,34.37467566666667,68.978049
19,hevc_qsv,CQP,veryslow,4,Anime,83131.68912760417,5541.896809895833,-q:v 19,12.523613532384237,0.6769895508708594,9.58183846393882,0.9915776666666666,0.9976736666666667,84.860238,96.77640266666667
20,hevc_qsv,CQP,veryslow,4,Anime,4439.515950520833,295.9700520833333,-q:v 38,12.388336737950643,0.9825122911007744,9.686439989247368,0.8878406666666666,0.9663243333333332,27.755957,63.13699733333333
21,hevc_qsv,CQP,veryslow,4,Anime,19996.674479166668,1333.0895182291667,-q:v 27,12.481266736984253,0.9217261079762995,9.614308988509627,0.9711150000000001,0.9927086666666667,71.141585,89.87316933333334
22,hevc_qsv,CQP,veryslow,4,Anime,17267.832682291668,1151.1712239583333,-q:v 28,12.483628431955973,0.9323902844429245,9.612561316994428,0.9674516666666667,0.9916443333333333,68.93896366666667,88.55461266666667
23,hevc_qsv,CQP,veryslow,4,Nature,7691.95703125,512.8561197916666,-q:v 37,12.341056903203329,0.9688429468035623,9.72256720938555,0.8620686666666666,0.9606343333333335,27.418684000000002,57.75506466666667
24,hevc_qsv,CQP,veryslow,4,Anime,12928.541666666666,861.8938802083334,-q:v 30,12.467312256495157,0.9493399703275732,9.625109724655209,0.9593696666666668,0.9889453333333332,62.18413266666666,85.33239933333334
25,hevc_qsv,CQP,veryslow,4,Nature,18153.564127604168,1210.3782552083333,-q:v 31,12.356574535369873,0.9273017831598788,9.710477892164246,0.9364076666666666,0.9810126666666666,48.915408000000006,74.78255966666667
26,hevc_qsv,CQP,veryslow,4,Anime,70675.9931640625,4711.548828125,-q:v 20,12.521682977676392,0.7253421334463869,9.583313347205399,0.9901463333333335,0.9973583333333332,83.71401999999999,96.34553333333334
27,hevc_qsv,CQP,veryslow,4,Nature,79858.48795572917,5324.519856770833,-q:v 22,12.390589555104574,0.681636291401737,9.684060517874059,0.9855519999999999,0.995561,80.84125666666667,91.99233233333332
28,hevc_qsv,CQP,veryslow,4,Anime,39296.535807291664,2619.6966145833335,-q:v 23,12.505312204360962,0.846703721601601,9.595839420087266,0.9834713333333333,0.9958986666666666,79.27214866666667,94.232073
29,hevc_qsv,CQP,veryslow,4,Nature,25193.476888020832,1679.7607421875,-q:v 29,12.383030414581299,0.8994681817043042,9.68982781917488,0.9565746666666667,0.986281,58.73459466666666,80.261059
30,hevc_qsv,CQP,veryslow,4,Anime,104985.65169270833,6998.780924479167,-q:v 18,12.536894003550211,0.5919915603534577,9.57162020072267,0.9937126666666667,0.9980963333333334,86.89504366666665,97.39875766666667
31,hevc_qsv,CQP,veryslow,4,Anime,9490.037760416666,632.6653645833334,-q:v 32,12.43496290842692,0.9627741999402003,9.650205472492969,0.942899,0.9846473333333333,52.006864,80.46215333333333
32,hevc_qsv,CQP,veryslow,4,Anime,8241.224609375,549.4137369791666,-q:v 33,12.431364138921102,0.9676405216871697,9.652924554187363,0.9359069999999999,0.982653,48.69585433333333,78.340758
33,hevc_qsv,CQP,veryslow,4,Nature,41784.932291666664,2785.9866536458335,-q:v 26,12.378169933954874,0.8335932707499064,9.693666087537748,0.97331,0.9914869999999999,70.07122299999999,86.344319
34,hevc_qsv,CQP,veryslow,4,Nature,121836.3955078125,8123.373697916667,-q:v 19,12.385189612706503,0.5122905339883035,9.688331240959423,0.9921573333333332,0.9971513333333334,85.62468233333333,94.50473499999998
35,hevc_qsv,CQP,veryslow,4,Nature,6742.341471354167,449.5413411458333,-q:v 38,12.330947160720825,0.9726275784271237,9.730558146648645,0.8494153333333333,0.9562633333333332,23.663687,54.700003333333335
36,hevc_qsv,CQP,veryslow,4,Nature,92096.06477864583,6140.453776041667,-q:v 21,12.39446226755778,0.6324373402265683,9.681096643334593,0.9879496666666667,0.9961536666666667,82.61209266666667,92.897226
37,hevc_qsv,CQP,veryslow,4,Nature,55653.716145833336,3710.6800130208335,-q:v 24,12.385002136230469,0.778230341446808,9.688402984229823,0.9783003333333333,0.993535,74.80789933333334,89.028031
38,hevc_qsv,CQP,veryslow,4,Anime,28048.783203125,1869.8805338541667,-q:v 25,12.50995405515035,0.8903245919941849,9.59238418536708,0.9787699999999999,0.9947223333333334,76.76707733333332,92.62132566666666
39,hevc_qsv,CQP,veryslow,4,Nature,11454.748697916666,763.73828125,-q:v 34,12.350027322769165,0.953909938831556,9.715564687049485,0.908093,0.972787,38.81425466666667,67.15237433333334
40,hevc_qsv,CQP,veryslow,4,Anime,6093.742838541667,406.2506510416667,-q:v 35,12.411067406336466,0.9760338052915921,9.668665960789339,0.9152183333333334,0.976118,37.157478,71.88373766666666
41,hevc_qsv,CQP,veryslow,4,Nature,8601.052408854166,573.4700520833334,-q:v 36,12.342773040135702,0.9652210225266004,9.72126373484783,0.8745493333333334,0.9641983333333334,29.552597666666667,60.382148
