"index","codec","type","preset","threads","infile_options","outfile_filename","outfile_size_kbyte","outfile_bit_rate_kbs","outfile_options","elapsed_encode_second","elapsed_encode_time","compression_ratio_persent","compression_speed","ssim_min","ssim_harmonic_mean","vmaf_min","vmaf_harmonic_mean"
10,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/a79c6785f8a8",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 23 -min_qp_b 32",12.758392572402954,"00:00:12",0.5770932244789232,9.4071411675801,0.977746,0.994418,73.415584,95.700976
11,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/b95fdd6f36fc",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 23 -min_qp_b 33",12.757558822631836,"00:00:12",0.5770932244789232,9.40775595618538,0.977746,0.994418,73.415584,95.700976
12,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/02a022af4515",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 24 -min_qp_b 23",12.761263847351074,"00:00:12",0.5770932244789232,9.405024567759659,0.977746,0.994418,73.415584,95.700976
13,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/64abd3002622",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 24 -min_qp_b 24",12.823129653930664,"00:00:12",0.5770932244789232,9.359649573784848,0.977746,0.994418,73.415584,95.700976
14,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/287d2bbd9bfc",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 24 -min_qp_b 25",12.765750885009766,"00:00:12",0.5770932244789232,9.401718792815702,0.977746,0.994418,73.415584,95.700976
15,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/b8c083b62540",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 24 -min_qp_b 26",12.763416528701782,"00:00:12",0.5770932244789232,9.403438313723019,0.977746,0.994418,73.415584,95.700976
16,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/9783462868c8",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 24 -min_qp_b 27",12.761556625366211,"00:00:12",0.5770932244789232,9.404808795929771,0.977746,0.994418,73.415584,95.700976
17,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/392ccf889ec0",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 24 -min_qp_b 28",12.766191720962524,"00:00:12",0.5770932244789232,9.401394137213453,0.977746,0.994418,73.415584,95.700976
18,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/a162d61e067a",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 24 -min_qp_b 29",12.76730465888977,"00:00:12",0.5770932244789232,9.400574608864765,0.977746,0.994418,73.415584,95.700976
19,"h264_qsv","h264_qsv_LA-ICQ","veryslow",4,"-hwaccel qsv -c:v mpeg2_qsv","videos/dist/h264_qsv_min_qp/386415fb274f",108452.884765625,7228.9873046875,"-global_quality 25 -look_ahead 1 -bf 16 -refs 9 -min_qp_i 23 -min_qp_p 24 -min_qp_b 30",12.762795209884644,"00:00:12",0.5770932244789232,9.403896092216996,0.977746,0.994418,73.415584,95.700976
